Index,Number Set(),Number,User Input,T/F,Time(ms)
0,(9 2 6 8 3 5 1),4,TimeOut,False,5000
1,(4 8 1 7 3 9 6),4,TimeOut,False,5000
2,(4 7 6 1 8 9 3),5,TimeOut,False,5000
3,(4 9 8 5 3 7 2),7,TimeOut,False,5000
4,(1 2 5 7 4 9 8),9,TimeOut,False,5000
5,(4 2 7 5 3 9 6),5,TimeOut,False,5000
6,(4 2 8 1 7 5 9),7,TimeOut,False,5000
7,(9 6 7 4 2 8 3),6,TimeOut,False,5000
8,(6 2 8 5 1 9 7),6,TimeOut,False,5000
9,(6 9 5 1 7 3 2),9,TimeOut,False,5000
10,(7 3 1 9 6 8 5),1,TimeOut,False,5000
11,(6 7 1 4 9 2 8),1,TimeOut,False,5000
12,(9 1 3 5 8 4 7),3,TimeOut,False,5000
13,(3 6 2 9 4 1 5),4,TimeOut,False,5000
14,(8 9 6 2 3 1 7),8,TimeOut,False,5000
15,(7 5 1 9 3 6 2),9,TimeOut,False,5000
16,(8 2 9 7 5 4 6),7,TimeOut,False,5000
17,(3 8 7 1 2 6 4),2,TimeOut,False,5000
18,(8 9 5 7 3 4 1),5,TimeOut,False,5000
19,(3 4 6 7 8 9 5),1,TimeOut,False,5000
